Column,Data Type,Unique Values,Type of Encoding
cement,float64,359,No Encoding
cement_type,str,12,Ordinal/Target Encoding
cement_grade,float64,3,No Encoding
silica_fume,float64,247,No Encoding
fly_ash,float64,101,No Encoding
fly_ash_type,str,2,Binary Encoding
limestone_powder,float64,44,No Encoding
quartz_powder,float64,87,No Encoding
glass_powder,float64,95,No Encoding
rice_husk_ash,float64,19,No Encoding
metakaolin,float64,31,No Encoding
ggbfs,float64,58,No Encoding
slag,float64,39,No Encoding
slag_type,str,4,One-Hot Encoding
nano_caco3,float64,14,No Encoding
nano_al2o3,float64,2,No Encoding
nano_tio2,float64,3,No Encoding
nano_sio2,float64,34,No Encoding
filler,float64,96,No Encoding
filler_type,str,18,Ordinal/Target Encoding
sand,float64,413,No Encoding
sand_type,str,21,Ordinal/Target Encoding
sand_max_size,float64,34,No Encoding
fiber1_type,str,11,Ordinal/Target Encoding
fiber1_amount,float64,116,No Encoding
fiber1_length,float64,23,No Encoding
fiber1_diameter,float64,25,No Encoding
fiber1_tensile_strength,float64,29,No Encoding
fiber1_youngs_modulus,float64,11,No Encoding
fiber2_type,str,8,One-Hot Encoding
fiber2_amount,float64,37,No Encoding
fiber2_length,float64,16,No Encoding
fiber2_diameter,float64,13,No Encoding
fiber2_tensile_strength,float64,12,No Encoding
fiber2_youngs_modulus,float64,4,No Encoding
water,float64,263,No Encoding
sp_type,str,7,One-Hot Encoding
sp_amount,float64,344,No Encoding
curing_method,str,7,One-Hot Encoding
curing_temp,float64,19,No Encoding
curing_humidity,float64,11,No Encoding
curing_pressure,float64,3,No Encoding
cs_28d,float64,646,No Encoding
